Primary category,Quality,Community
Air cargo & freight facilities,LQ,NCF
"Air, Technical & engineering facilities",LQ,NCF
"Airport runways, taxiways, aprons",LQ,NCF
Rest/elderly persons homes,LQ,NCF
"Churches, places of worship",LQ,NCF
"Airport runways, taxiways, aprons",LQ,NCF
"Bridges, viaducts, underpasses",LQ,NCF
Commercial Access & Estate Roads,LQ,NCF
Dams & reservoirs,LQ,NCF
Decorative Landscaping,LQ,CF
"Harbours, docks, marinas",LQ,CF
"Land reclamation, major landscaping",LQ,NCF
"Marine works, coastal protection",LQ,CF
Railway construction & maintenance,LQ,NCF
River & flood protection works,LQ,NCF
Road construction & maintenance,LQ,NCF
"Tunnelling, mining, quarrying",LQ,NCF
Urban renewal & environmental improvements,LQ,CF
Demolition Works,LQ,CF
"Harbours, docks, marinas",LQ,CF
Jetty & Wharf construction,LQ,CF
Marine demolition & dismantle,LQ,NCF
Marine technical & engineering facilities,LQ,NCF
"Marine works, coastal protection",LQ,NCF
Offshore turbines,HQ,NCF
Revetment & rock armour,LQ,NCF
Shipping & ferry terminal,LQ,NCF
Cash handling offices,LQ,NCF
Commercial Workshops,LQ,NCF
General offices,LQ,NCF
General retailing,LQ,NCF
Retail warehouses,LQ,NCF
Nursery & kindergarten schools,HQ,CF
Private & church schools & colleges,HQ,CF
Special schools,HQ,CF
State colleges & universities,HQ,CF
State primary schools,HQ,CF
State secondary schools,HQ,CF
Trade colleges & training centres,HQ,CF
Earthwork remodelling,LQ,NCF
Enabling works,LQ,NCF
Retaining walls & embankments,LQ,NCF
"Tunnelling, mining, quarrying",LQ,NCF
Road lighting,LQ,NCF
Signage,LQ,NCF
Site Drainage,LQ,NCF
Agricultural buildings,LQ,NCF
Light/hi-tec industrial,LQ,NCF
Decorative Landscaping,HQ,CF
"Land reclamation, major landscaping",HQ,CF
Landscape,HQ,CF
Urban renewal & environmental improvements,HQ,CF
"Caravan parks,camp sites",LQ,NCF
"Health farms, hydros",LQ,NCF
"Hospices, nursing & psychiatric homes",HQ,CF
Kennels & Catteries,LQ,NCF
Mortuaries,LQ,NCF
Private hospitals,HQ,CF
Public hospitals,HQ,CF
Secure hospitals,HQ,CF
"Surgeries, health & medical centres",HQ,CF
Veterinary surgeries & hospitals,LQ,NCF
"Broadcasting studios &, facilities",LQ,NCF
Electricity sub station,LQ,NCF
Energy from waste,LQ,NCF
Hydroelectric power,HQ,NCF
Nuclear energy,HQ,NCF
Off shore power supply,HQ,NCF
On shore turbines,HQ,NCF
Pipeline,LQ,NCF
Power generation & distribution,LQ,NCF
Power supply pylons and lines,LQ,NCF
Telecommunications & postal facilities,LQ,NCF
Utility connections,HQ,NCF
Utility pipeline,HQ,NCF
Rail,HQ,NCF
Rail tracks/lines,HQ,NCF
"Rail, technical & engineering facilities",HQ,NCF
Railway cargo & freight facilities,HQ,NCF
Railway construction & maintenance,HQ,NCF
Housing association dwellings,LQ,NCF
Private development,LQ,NCF
Single house,LQ,NCF
278works,LQ,NCF
"Bridges, viaducts, underpasses",LQ,NCF
Commercial Access & Estate Roads,LQ,NCF
Cycle route & pavements,HQ,CF
Multi-storey & underground car parks,LQ,NCF
"Petrol stations, fuelling facilities",LQ,NCF
Public transport passenger facilities,HQ,CF
Road construction & maintenance,LQ,NCF
Road Drainage,LQ,NCF
Surface car parks,LQ,NCF
Traffic management,HQ,CF
"Vehicle show rooms, servicing",LQ,NCF
Riding schools & stables,LQ,NCF
EIA & Feasibility studies,LQ,NCF
Site investigation,LQ,NCF
"Air, Technical & engineering facilities",LQ,NCF
Cargo & freight facilities,LQ,NCF
Electric vehicle charging points,HQ,CF
Marine technical & engineering facilities,LQ,NCF
Multistorey & underground car parks,LQ,NCF
"Petrol stations, fuelling facilities",LQ,NCF
Public transport passenger facilities,HQ,CF
"Rail, technical & engineering facilities",LQ,NCF
Surface car parks,LQ,NCF
"Vehicle show rooms, servicing",LQ,NCF
"Broadcasting studios &, facilities",LQ,NCF
Power generation & distribution,LQ,NCF
"Sewerage, drainage, waste disposal",LQ,NCF
Telecommunications & postal facilities,LQ,NCF
"Water treatment, storage, distribution",LQ,NCF
Demolition & arising recycling,HQ,NCF
Landfill site,LQ,NCF
Site remediation  &  Geotechnical services,HQ,NCF
Waste,HQ,NCF
Waste recycling,HQ,NCF
Attenuation tanking,HQ,NCF
Dams & reservoirs,HQ,NCF
Fresh water works & canals,HQ,NCF
Hydroelectric power,HQ,NCF
Pipeline,LQ,NCF
Pumping station,LQ,NCF
River & flood protection works,LQ,NCF
"Sewerage, drainage, waste disposal",LQ,NCF
Water,LQ,NCF
"Water treatment, storage, distribution",LQ,NCF
